y = 166200 mm ,  x = 90000 mm , tune 51.50%, Event Range  0
y = 166133 mm ,  x = 90000 mm , tune 51.50%, Event Range  1
y = 166067 mm ,  x = 90000 mm , tune 51.50%, Event Range  2
y = 166000 mm ,  x = 90000 mm , tune 51.50%, Event Range  3
y = 165933 mm ,  x = 90000 mm , tune 51.50%, Event Range  4
y = 165867 mm ,  x = 90000 mm , tune 51.50%, Event Range  5
y = 165800 mm ,  x = 90000 mm , tune 51.50%, Event Range  6
y = 165733 mm ,  x = 90000 mm , tune 51.50%, Event Range  7
y = 165667 mm ,  x = 90000 mm , tune 51.50%, Event Range  8
y = 165600 mm ,  x = 90000 mm , tune 51.50%, Event Range  9
y = 165533 mm ,  x = 90000 mm , tune 51.50%, Event Range  10
y = 165467 mm ,  x = 90000 mm , tune 51.50%, Event Range  11
y = 165400 mm ,  x = 90000 mm , tune 51.50%, Event Range  12
y = 165333 mm ,  x = 90000 mm , tune 51.50%, Event Range  13
y = 165267 mm ,  x = 90000 mm , tune 51.50%, Event Range  14
y = 165200 mm ,  x = 90000 mm , tune 51.50%, Event Range  15
y = 165133 mm ,  x = 90000 mm , tune 51.50%, Event Range  16
y = 165067 mm ,  x = 90000 mm , tune 51.50%, Event Range  17
y = 165000 mm ,  x = 90000 mm , tune 51.50%, Event Range  18
y = 164933 mm ,  x = 90000 mm , tune 51.50%, Event Range  19
y = 164867 mm ,  x = 90000 mm , tune 51.50%, Event Range  20
y = 164800 mm ,  x = 90000 mm , tune 51.50%, Event Range  21
y = 164733 mm ,  x = 90000 mm , tune 51.50%, Event Range  22
y = 164667 mm ,  x = 90000 mm , tune 51.50%, Event Range  23
y = 164600 mm ,  x = 90000 mm , tune 51.50%, Event Range  24
y = 164533 mm ,  x = 90000 mm , tune 51.50%, Event Range  25
y = 164467 mm ,  x = 90000 mm , tune 51.50%, Event Range  26
y = 164400 mm ,  x = 90000 mm , tune 51.50%, Event Range  27
y = 164333 mm ,  x = 90000 mm , tune 51.50%, Event Range  28
y = 164267 mm ,  x = 90000 mm , tune 51.50%, Event Range  29
y = 164200 mm ,  x = 90000 mm , tune 51.50%, Event Range  30
