y = 164750 mm ,  x = 110000 mm , tune 51.50%, Event Range  0
y = 164750 mm ,  x = 107000 mm , tune 51.50%, Event Range  1
y = 164750 mm ,  x = 104000 mm , tune 51.50%, Event Range  2
y = 164750 mm ,  x = 101000 mm , tune 51.50%, Event Range  3
y = 164750 mm ,  x = 98000 mm , tune 51.50%, Event Range  4
y = 164750 mm ,  x = 95000 mm , tune 51.50%, Event Range  5
y = 164750 mm ,  x = 92000 mm , tune 51.50%, Event Range  6
y = 164750 mm ,  x = 89000 mm , tune 51.50%, Event Range  7
y = 164750 mm ,  x = 86000 mm , tune 51.50%, Event Range  8
y = 164750 mm ,  x = 83000 mm , tune 51.50%, Event Range  9
y = 164750 mm ,  x = 80000 mm , tune 51.50%, Event Range  10
y = 164750 mm ,  x = 77000 mm , tune 51.50%, Event Range  11
y = 164750 mm ,  x = 74000 mm , tune 51.50%, Event Range  12
y = 164750 mm ,  x = 71000 mm , tune 51.50%, Event Range  13
y = 164750 mm ,  x = 68000 mm , tune 51.50%, Event Range  14
y = 164750 mm ,  x = 65000 mm , tune 51.50%, Event Range  15
y = 164750 mm ,  x = 62000 mm , tune 51.50%, Event Range  16
y = 164750 mm ,  x = 59000 mm , tune 51.50%, Event Range  17
y = 164750 mm ,  x = 56000 mm , tune 51.50%, Event Range  18
y = 164750 mm ,  x = 53000 mm , tune 51.50%, Event Range  19
y = 164750 mm ,  x = 50000 mm , tune 51.50%, Event Range  20
y = 164750 mm ,  x = 47000 mm , tune 51.50%, Event Range  21
y = 164750 mm ,  x = 44000 mm , tune 51.50%, Event Range  22
y = 164750 mm ,  x = 41000 mm , tune 51.50%, Event Range  23
y = 164750 mm ,  x = 38000 mm , tune 51.50%, Event Range  24
y = 164750 mm ,  x = 35000 mm , tune 51.50%, Event Range  25
y = 164750 mm ,  x = 32000 mm , tune 51.50%, Event Range  26
y = 164750 mm ,  x = 29000 mm , tune 51.50%, Event Range  27
y = 164750 mm ,  x = 26000 mm , tune 51.50%, Event Range  28

